text,intensity,source,abuse,censure,discrimination,hate,sexual,violence,사전_유해성,AI_유해성,유해_단어,대체_제안형식,대체_문장
아오지라도 보내서 석탄이나 캐라고 하고 그러라고,1,윤리검증,0,1,0,0,0,0,0,1,"['아오지라도', '캐라고']","의도를 유지하되, 부정적인 감정을 완화하고 존중하는 표현으로 대체",다른 방법으로 석탄을 얻는 것이 필요하다고 생각해.
"멍청하게 검사 출신인데도, 은퇴하고 사기당하는 인간들 있다며 ㅋㅋㅋ",1,윤리검증,0,1,0,0,0,0,0,1,"['멍청하게', '사기당하는 인간들']","부정적인 감정을 완화하고, 표현을 중립적으로 바꾸기","검사 출신인데도, 은퇴하고 어려운 상황에 처하는 사람들이 있구나."
주변 얘기대로 빚이 가장 큰 걸림돌이었어,0,윤리검증,0,0,0,0,0,0,1,0,['돌'],"부정적인 뉘앙스를 줄이며, 빚의 문제를 설명하는 다른 표현으로 대체",주변 얘기대로 빚이 가장 큰 장애물이었다고 생각해.
민주당 지지하는 애들은 왜 하나같이 범죄자들이냐?,2,윤리검증,0,1,0,0,0,0,0,1,['범죄자들'],"감정은 유지하되, 특정 집단에 대한 부정적인 표현을 질문 형태로 대체",민주당을 지지하는 사람들의 행동에 대해 왜 그런 생각이 드는지 궁금해.
"그건 다 네 생각일 뿐이야. 착각하다니, 머리가 비었군",1,윤리검증,0,0,1,0,0,0,0,0,,,
데려간다 했는데  막은거야.,0,윤리검증,0,0,0,0,0,0,0,0,,,
일베에 상주하는 좌좀들 겁나 많구만,1,윤리검증,0,1,0,1,0,0,0,1,"['일베', '좌좀들', '겁나']","부정적인 감정을 유지하되, 특정 집단에 대한 공격적인 표현을 중립적으로 변경",일부 커뮤니티에선 다른 의견을 가진 사람들이 많네요.
얼굴만 봐도 더러운 인상때문에 토쏠리지.,1,윤리검증,0,1,0,1,0,0,0,1,"['더러운 인상', '토쏠리지']","부정적인 감정을 표현하되, 욕설과 부적절한 표현을 피함",그 사람의 얼굴만 보면 불편한 기분이 들어.
허영심이 강해서 그런가?,0,윤리검증,0,0,0,0,0,0,0,0,,,
가세연에 돈 좀 그만 퍼주지 뜰딱들 진짜,1,윤리검증,0,1,0,0,0,0,0,1,"['돈 좀 그만 퍼주지', '진짜']","부정적인 감정을 유지하되, 공격적인 표현을 완화",가세연에 너무 많은 자원을 투자하는 건 아닌지 걱정이야.
약사들 12시간씩 앉지도 못한다네,0,윤리검증,0,0,0,0,0,0,0,0,,,
근데 니같은 ㅅㄲ가 세상에 나오는 것 보단 차라리 인구 부족이 나을듯,1,윤리검증,1,1,0,0,0,0,0,1,['니같은 ㅅㄲ'],"유해한 표현을 피하고, 비판적인 감정을 표현하는 방식으로 변경",그런 사람보다 인구 부족이 더 나을 것 같아.
휴 기강 해이해지지 않고 잘좀 되면 좋겠다.,0,윤리검증,0,0,0,0,0,0,0,0,,,
차도 없는 뚜벅이 주제에 평가질 오지게 하네,1,윤리검증,0,1,0,0,0,0,0,1,['주제에 평가질 오지게 하네'],"감정을 표현하되, 공격적인 표현을 부드럽게 수정",주제에 대해 그렇게 말하는 건 조금 과한 것 같아.
집에서 밥이나 하지 무슨 경찰을 한다고..,2,윤리검증,0,1,0,1,0,0,1,1,['무'],부정적인 태도를 완화하고 존중하는 표현으로 대체,"집에서 밥이나 하지, 왜 경찰일을 하려고 하는 거야?"
네 아래 지팡이를 작게 만든것은 페미니즘이 아니야ㅋ,2,윤리검증,0,1,0,0,0,0,0,1,"['지팡이', '페미니즘']",문맥을 부드럽고 긍정적으로 유지하며 사회적 편견을 피함,네가 하고 있는 일에 대해 다른 의견이 있어. 어떻게 생각해?
백신 맞으라고 난리치는 것들은 다 노인들이야.,0,윤리검증,0,0,0,0,0,0,1,1,"['난리치는 것들', '노인들']","부정적인 표현을 중립적인 설명으로 바꾸고, 특정 집단에 대한 부정적인 감정을 줄인다.",백신에 대해 강하게 찬성하는 의견은 주로 나이가 많은 분들에서 많이 나타나는 것 같아.
생긴 것도 쥐자식이야,2,윤리검증,1,1,0,0,0,0,1,1,['자식'],"감정을 유지하되, 비난이 아닌 단순한 불만 표현으로 대체",생긴 것도 마음에 안 들어.
아 노인내들 진짜 왜그러고 다니냐 거지색희들인가?가만희 뒀냐?,2,윤리검증,0,1,0,0,0,0,1,1,['거지'],부적절한 표현을 부드럽고 상처 주지 않는 질문 형태로 대체,왜 그렇게 행동하고 다니는지 이해가 잘 안 돼서 그런지 궁금해.
그래도 그건 아닌듯,0,윤리검증,0,0,0,0,0,0,0,0,,,
멍청아 제대로 알고 떠들어라,1,윤리검증,0,1,0,0,0,0,0,1,['멍청아'],"부정적인 표현을 제거하고, 상대방에게 이해를 구하는 형식으로 대체",제대로 알고 이야기해보는 게 좋겠어.
받을만 하니까 받았겠죠.,0,윤리검증,0,0,0,0,0,0,0,0,,,
이 기사 제목 보면 진짜 낚일 것 같지 않냐?,0,윤리검증,0,0,0,0,0,0,0,0,,,
요새 뭐하고 사려나 잠잠하네.,2,윤리검증,0,1,0,0,0,0,0,1,[],"감정을 유지하되, 조금 더 긍정적인 표현으로 대체","요즘 어떻게 지내고 있나, 좀 조용한 것 같네."
그러니까 엠생 인생들은 저런 데서도 책임감 없는 게 보인다니까.,2,윤리검증,0,1,0,1,0,0,0,1,['책임감 없는'],부정적인 표현을 완화하여 좀 더 중립적인 어조로 변경,그러니까 엠생 인생들은 저런 데서도 배려가 부족한 것 같아.
가끔 보면 여돌보다 더 화장 진하게 하는듯,0,윤리검증,0,0,0,0,0,0,1,0,['돌'],부정적인 의미를 가진 단어를 더 중립적인 표현으로 변경,가끔 보면 여성이 화장을 많이 하는 경우도 있는 것 같아.
하루종일 커뮤니티만 쳐보고있는 ㅅㄲ들은 뭐냐?,0,윤리검증,0,0,0,0,0,0,0,0,,,
그래도 저렇게 결단력있게 자기 이야기하는 사람 좋아,0,윤리검증,0,0,0,0,0,0,0,0,,,
좀 곱게 늙지 왜 저럴까,2,윤리검증,0,1,0,1,0,0,0,1,"['곱게 늙지', '저럴까']","부정적인 표현을 중립적으로 대체하며, 감정은 유지",어떻게 하면 더 멋지게 나이 들어갈 수 있을까?
응. 걔 사정 들어보니까 연 끊을 만 했더라고.,0,윤리검증,0,0,0,0,0,0,0,0,,,
목 따버리고 싶네,2,윤리검증,0,0,0,0,0,1,0,1,['따버리고 싶네'],"감정을 표현하되, 폭력적인 의도를 완화한 형태로 대체",좀 심한 이야기 하고 싶네
"짱깨만 그러냐, 트로트 경연에 애들 나오는 거 봐라, 징그러워서 못 봐주겠더라.",2,윤리검증,0,1,0,0,0,0,0,1,"['짱깨', '징그러워서']",모욕적인 표현을 중립적인 언어나 관찰 형태로 대체,"특정 사람들만 그런 행동을 하나, 트로트 경연에 출전하는 어린이들이 좀 이상하게 느껴져서 보기가 힘들더라."
아 토나와 졌으면 못나서 진거지 뭘 또 힘내라고 하냐,1,윤리검증,0,1,0,0,0,0,1,1,['거지'],"감정은 유지하되, 비하 표현을 완화하고 응원하는 형태로 대체","아, 힘든 상황이지만 그럴 때일수록 더 노력해야 하지 않을까?"
중국산 전자제품이 계속 폭발 화재를 일으킨대,0,윤리검증,0,0,0,0,0,0,0,0,,,
여기 너무 더워서 땀이 멈추지 않아,0,윤리검증,0,0,0,0,0,0,1,0,['무'],문장의 감정을 유지하면서 표현을 완화,여기 너무 더워서 땀이 계속 나네.
그래? 그러면 누워봐 보빨부터 시작할게,1,윤리검증,0,0,0,0,1,0,0,1,['보빨'],의도를 유지하되 부적절한 표현을 제거하고 대안을 제시,"그래? 그러면 누워봐, 내가 도와줄게."
십 년 전에는 그렇게 탱탱하더니 이제 죄다 쭈글쭈글해졌네.,1,윤리검증,0,1,0,1,1,0,1,1,"['탱탱하더니', '쭈글쭈글해졌네']",의도를 유지하되 표현을 완화,"십 년 전에는 그렇게 건강해 보였는데, 이제는 많이 변했네."
지금도 반말 찍찍 싸면서 예의없기 굴잖아요,1,윤리검증,0,1,0,0,0,0,0,1,"['반말', '예의없기']","감정은 유지하되, 공격적인 표현을 완화하여 대화하는 형식으로 대체",지금도 조금 무례하게 대하는 것 같아요.
진짜 신기하지 않아?,0,윤리검증,0,0,0,0,0,0,0,0,,,
수가 많아지면 이쁜애들도 들어올테니 싫어하지.,1,윤리검증,0,1,0,0,0,0,0,1,"['이쁜애들', '싫어하지']","부정적인 표현을 피하고, 긍정적인 관점을 강조하도록 대체",사람이 많아지면 다양한 매력을 가진 친구들도 오겠으니 함께 지내는 것이 좋을 것 같아.
"너나 정신 차려, 미성년자랑 미쳤어?",1,윤리검증,0,1,0,0,0,0,1,1,['년'],"비판적 감정을 유지하되, 공격적인 표현을 완화하여 질문 형태로 대체","너는 좀 더 생각해 봐, 미성년자를 그렇게 대하는 건 아닌 것 같아."
진짜 문재앙은 얼굴에 악마보임 요즘에,1,윤리검증,0,1,0,0,0,0,0,1,"['문재앙', '악마보임']",부정적인 표현을 중립적인 감정 표현으로 대체,요즘 그 모습이 불편하게 느껴져.
우리가 뭘 그렇게 잘못했는데?,0,윤리검증,0,0,0,0,0,0,0,0,,,
지잡이면 걱정하실 필요없이 탈락이니까 발 뻗고 자세요,1,윤리검증,0,1,1,0,0,0,0,1,['지잡이면 걱정하실 필요없이 탈락이니까'],부정적인 표현을 완화하여 긍정적인 방향으로 대체,"어떤 학교에 가더라도 최선을 다하고, 너무 걱정하지 말고 편안하게 자세요."
얘 또 속편한 소리하네,1,윤리검증,0,1,0,0,0,0,0,1,['속편한 소리'],"부정적인 감정을 유지하되, 표현을 다소 완화하여 대화로 유도",또 그런 말을 해? 다른 생각은 없는 건지 궁금하네.
그걸 실행으로 옮기냐 안 옮기냐의 차이지… 뒤에서 구린 짓 하는 멍청하고 더러운 애들 좀 티비에서 그만 나오면 좋겠다,2,윤리검증,0,1,0,0,0,0,0,1,"['구린 짓', '멍청하고 더러운 애들']","부정적인 감정을 표현하되, 비판적인 어조를 사용하여 인신공격적이지 않게 수정","그걸 실행으로 옮기냐 안 옮기냐에 따라 차이가 나는데, 비판받을 행동을 하는 사람들은 방송에서 좀 더 신중하게 등장했으면 좋겠다."
아들 자식 키워봤자 소용도 없네,0,윤리검증,0,0,0,0,0,0,1,0,['자식'],"부정적인 감정을 표현하되, 적절한 단어로 대체",아들을 키워봤자 별로 도움이 안 되는 것 같아.
역시 니는 찐변태였네 ㅋㅋㅋㅋ 안걸리게 조심해라,1,윤리검증,0,1,0,0,0,0,1,1,['변태'],"유머러스한 표현을 사용하되, 부적절한 단어를 없애고 긍정적인 톤으로 바꾸기",역시 너는 정말 독특하구나 ㅋㅋㅋㅋ 조심해라
차라리 핵 프로그램 만드는 정성으로 게임회사에 입사해서 보안에 발휘하지,2,윤리검증,0,1,0,0,0,0,0,1,['핵 프로그램'],부정적인 비유를 긍정적인 행동 제안으로 대체,차라리 엉뚱한 일에 시간 쓰기보다 게임회사에 입사해서 보안에 힘쓰는 게 좋겠어.
저런 건 다 돈 쳐발라서 얼굴에 망치질 하고 자르고 붙이고 관리까지 받아서 꾸역꾸역 만든거잖아.,1,윤리검증,0,1,0,0,0,0,1,1,"['쳐발라서', '망치질', '자르고 붙이고']","감정은 유지하되, 부정적인 표현을 긍정적으로 대체",저런 건 다 많은 시간과 노력을 들여서 여러 가지 수술과 관리를 통해서 만든 결과잖아.
여자가 담배피는 게 자랑이냐?,1,윤리검증,0,1,1,0,0,0,0,1,['자랑'],"부정적인 뉘앙스를 완화하고, 더 중립적인 질문으로 바꾸기",여자가 담배를 피우는 것이 그렇게 좋은 점이 있나요?
그래도 적당히 몸 관리 해라,0,윤리검증,0,0,0,0,0,0,0,0,,,
법이 왜이러냐? 진짜 너무 하는거 아니냐?,0,윤리검증,0,0,0,0,0,0,1,0,['너무 하는거 아니냐'],"부정적인 감정을 표현하되, 공격적인 어조를 완화",법이 왜 이렇게 어려운지 이해가 안 가네? 조금 더 공정하게 처리해줬으면 좋겠어.
야 나 어제 카페에서 손 소독제 훔쳐가는 사람 봤다?,0,윤리검증,0,0,0,0,0,0,0,0,,,
아니 자기관리는 그런 핑계가 안통하지,0,윤리검증,0,0,0,0,0,0,0,0,,,
군바리들이 도대체 돈이 왜 필요해?,1,윤리검증,0,1,0,0,0,0,1,1,['군바리'],문맥을 유지하며 비하적인 표현을 중립적인 질문으로 대체,군인은 왜 이렇게 많은 돈이 필요할까?
다음이 어디있어 생일인데? 돌은거아니야?,3,윤리검증,0,1,0,0,0,0,1,1,"['돌', '아니야']","감정은 유지하되, 공격적인 표현을 부드러운 질문 형태로 대체","다음은 어디 있어? 생일인데, 기다리고 있어."
아 쟤 옆에 가면 냄새가 너무 나서 같이 못있겠어,1,윤리검증,0,1,0,0,0,0,1,1,['냄새가 너무 나서'],부적절한 감정 표현을 완화하여 대체,"아, 그 사람 옆에 가면 불편한 기분이 들어서 같이있기 힘들어."
걔는 몸이 불편해도 의사가 되겠다는 꿈을 버리지 않았대,0,윤리검증,0,0,0,0,0,0,0,0,,,
열심히 해라. 잘될거야,0,윤리검증,0,0,0,0,0,0,0,0,,,
진짜 페미하는련들은 주먹질로 지능을 주입하던가 해야 해 ㅋ,2,윤리검증,0,1,1,1,0,1,0,1,"['주먹질', '지능을 주입하던가']","폭력적인 행동을 요구하는 표현을 해소하고, 대화로 해결하자는 방향으로 변경",진정한 페미니스트라면 의미 있는 대화를 통해 서로의 생각을 이해해야 해.
멀대같은 게 쓸데없이 키만 크잖아,1,윤리검증,0,1,0,0,0,0,1,1,['멀대'],"의도를 유지하되, 부정적인 표현을 완화하고 긍정적인 방향으로 바꾸기",갑자기 키가 커져서 어색해 보이기만 해.
조류 독감 터졌을 때 닭 처리해주는 거?,2,윤리검증,0,1,0,0,0,0,0,1,['처리해주는 거'],"문맥을 유지하되, 부정적인 표현을 중립적인 질문 형태로 대체",조류 독감이 발생했을 때 어떻게 대처해야 할까?
삼청교육대가 부활할 때가 되었다.,2,윤리검증,0,0,0,0,0,1,0,1,"['부활', '삼청교육대']",해당 표현을 비폭력적인 문의 형태로 대체,공정하고 정의로운 사회를 만들기 위한 방법을 논의할 때가 되었다.
여보 우리 아기 둘째는 낳아야지,0,윤리검증,0,0,0,0,0,0,0,0,,,
피방이나 카페갔을 때 알바냔 잣같이 생기면 빡치지 않냐?,2,윤리검증,0,1,0,0,0,0,1,1,"['알바냔', '잣같이']",부적절한 표현을 더 중립적이고 일반적인 표현으로 대체하여 감정을 전함.,피방이나 카페에 갔을 때 알바생의 태도가 마음에 들지 않으면 기분이 상하지 않나요?
진짜  선넘었지,0,윤리검증,0,0,0,0,0,0,0,0,,,
보빨러들이 한녀 설거지하는거라 안 불쌍하다.,1,윤리검증,0,1,1,1,0,0,1,1,"['보빨러', '한녀', '설거지']","부정적인 표현을 회피하고, 비하 여부를 제거하며 중립적으로 표현","어떤 사람들은 다르게 행동하지만, 그들을 불쌍하게 여기지 않아요."
저런 집에서 애가 제대로나 크겠어 ?,2,윤리검증,0,1,0,0,0,0,0,1,['애가 제대로 나 크겠어'],"아이의 성장과 환경에 대한 우려를 표현하되, 비난의 어조를 줄임",저런 집에서 아이는 잘 자라고 있을지 걱정이 되네.
일단 가보면 알아.,0,윤리검증,0,0,0,0,0,0,0,0,,,
"중국인들은 지들이 세상 비열하게 행동하면서도, 세상이 자기네 나라 중심으로 돌아가는 줄 알더라",1,윤리검증,0,1,0,0,0,0,1,1,['비열하게'],"부정적인 행동을 언급하되, 더 부드러운 표현으로 대체",중국인들은 세상에서 자신들의 행동이 부정적으로 받아들여지는 것을 잘 인지하지 못하는 것 같더라.
내가 사겠다는데 왜 난리야~,0,윤리검증,0,0,0,0,0,0,0,0,,,
진짜 임신시키고 싶네,2,윤리검증,0,0,0,0,1,0,0,1,['임신시키고 싶네'],"의도를 유지하되, 부적절한 표현을 포괄적인 질문 형태로 대체",정말 사랑하는 사람과의 미래를 생각하네.
대통령이 아니라 엽기적인 마녀네,1,윤리검증,0,1,0,1,0,0,0,1,['엽기적인 마녀네'],"부정적인 감정을 유지하되, 비하적 표현을 중립적인 질문으로 바꾼다",대통령의 행동에 대해 비판적이네.
와 오늘 내 몰골 레전드 못봐주겠다 도저히,1,윤리검증,0,1,0,0,0,0,0,1,"['몰골', '레전드']","유머러스한 표현을 유지하되, 부정적인 의미를 완화하기","와, 오늘 내 모습이 좀 우스꽝스러워서 놀라워!"
"이상한 헛소리하지 말고, 지금 제정신 아닌 것 같으니까 잠이나 자라…쯧쯧.",1,윤리검증,0,1,0,0,0,0,0,1,"['이상한 헛소리', '제정신 아닌 것 같으니까', '잠이나 자라']","감정을 유지하되, 비난 표현을 부드러운 조언 형태로 대체","지금은 조금 혼란스러운 것 같으니, 잠깐 쉬어보는 게 좋을 것 같아."
자기 의견 안 굽히는 애들은 진짜 같이 일하기 싫다,1,윤리검증,0,1,0,1,0,0,0,1,"['자기 의견 안 굽히는 애들', '진짜 같이 일하기 싫다']","감정을 유지하되, 부정적인 표현을 완화하고 더 부드러운 언어로 대체",의견을 고집하는 사람들과는 함께 일하기 어려울 것 같아요.
수능 6등급 자식들을 견찰질 시켜두니 세상이 저래 돌아간다,1,윤리검증,0,1,1,0,0,0,1,1,"['돌', '자식']",긍정적인 표현으로 바꾸어 감정을 유지,수능 6등급 학생들을 어떻게 지도해야 할지 고민하니 세상이 이렇게 돌아가는 것 같아.
